timestamp,runtime_ticks_received_total,runtime_ticks_processed_total,runtime_ticks_dropped_total,critical_ticks_dropped_total,background_ticks_dropped_total,journal_records_enqueued_total,journal_records_written_total,journal_records_dropped_total,critical_queue_max_size_seen,background_queue_max_size_seen,journal_queue_max_size_seen,current_subscribed_token_count,current_option_lattice_size,current_atm_reference,stream_connected,stream_degraded
2026-04-02 08:30:33.056792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,False,True
2026-04-02 08:30:38.456303,21.0,21.0,0.0,0.0,0.0,7.0,7.0,0.0,2.0,14.0,1.0,16.0,14.0,73100.0,True,False
2026-04-02 08:30:43.611353,26.0,26.0,0.0,0.0,0.0,12.0,12.0,0.0,2.0,14.0,1.0,16.0,14.0,73100.0,True,False
2026-04-02 08:30:48.952557,32.0,32.0,0.0,0.0,0.0,18.0,17.0,0.0,2.0,14.0,1.0,16.0,14.0,73100.0,True,False
2026-04-02 08:30:54.010110,36.0,36.0,0.0,0.0,0.0,22.0,22.0,0.0,2.0,14.0,1.0,16.0,14.0,73100.0,True,False
2026-04-02 08:30:59.450102,42.0,42.0,0.0,0.0,0.0,28.0,28.0,0.0,2.0,14.0,1.0,16.0,14.0,73100.0,True,False
2026-04-02 08:31:04.503642,47.0,47.0,0.0,0.0,0.0,33.0,33.0,0.0,2.0,14.0,1.0,16.0,14.0,73100.0,True,False
2026-04-02 08:31:09.961348,53.0,53.0,0.0,0.0,0.0,39.0,38.0,0.0,2.0,14.0,1.0,16.0,14.0,73100.0,True,False
2026-04-02 08:31:14.965502,57.0,57.0,0.0,0.0,0.0,43.0,43.0,0.0,2.0,14.0,1.0,16.0,14.0,73100.0,True,False
2026-04-02 08:31:20.457267,63.0,63.0,0.0,0.0,0.0,49.0,49.0,0.0,2.0,14.0,1.0,16.0,14.0,73100.0,True,False
2026-04-02 08:31:25.711004,68.0,68.0,0.0,0.0,0.0,54.0,54.0,0.0,2.0,14.0,1.0,16.0,14.0,73100.0,True,False
2026-04-02 08:31:30.724752,73.0,73.0,0.0,0.0,0.0,59.0,59.0,0.0,2.0,14.0,1.0,16.0,14.0,73100.0,True,False
2026-04-02 08:31:36.204028,79.0,79.0,0.0,0.0,0.0,65.0,65.0,0.0,2.0,14.0,1.0,16.0,14.0,73100.0,True,False
2026-04-02 08:31:41.207411,83.0,83.0,0.0,0.0,0.0,69.0,69.0,0.0,2.0,14.0,1.0,16.0,14.0,73100.0,True,False
2026-04-02 08:31:46.713596,89.0,89.0,0.0,0.0,0.0,75.0,75.0,0.0,2.0,14.0,1.0,16.0,14.0,73100.0,True,False
2026-04-02 08:31:51.983238,94.0,94.0,0.0,0.0,0.0,80.0,80.0,0.0,2.0,14.0,1.0,16.0,14.0,73100.0,True,False
2026-04-02 08:31:57.201826,100.0,100.0,0.0,0.0,0.0,86.0,86.0,0.0,2.0,14.0,1.0,16.0,14.0,73100.0,True,False
2026-04-02 08:32:02.709021,105.0,105.0,0.0,0.0,0.0,91.0,91.0,0.0,2.0,14.0,1.0,16.0,14.0,73100.0,True,False
2026-04-02 08:32:08.204796,111.0,111.0,0.0,0.0,0.0,97.0,96.0,0.0,2.0,14.0,1.0,16.0,14.0,73100.0,True,False
2026-04-02 08:32:13.210681,116.0,115.0,0.0,0.0,0.0,101.0,101.0,0.0,2.0,14.0,1.0,16.0,14.0,73100.0,True,False
